A-JET AVIATION AIRCRAFT MANAGEMENT GMBH,GBT
A-JET AVIATION CO. LTD,AJR
A-SAFAR AIR SERVICES LIMITED,SFM
AAC-ANGOLA AIR CHARTER LIMITED,AGO
AB FLYGTJANST F.J. VIKLUND,KTR
ABABEEL AVIATION CO. LTD,BBE
ABAKAN-AVIA,ABG
ABAN AIR,ABE
ABAS,MRP
"ABC AEROLINEAS, S.A. DE C.V.",AIJ
ABC AIR HUNGARY LTD,AHU
ABC BEDARFSFLUG GMBH,FTY
ABC WORLD AIRWAYS GUIDE,ABC
ABELAG AVIATION,AAB
ABERDAIR AVIATION LIMITED,BDV
ABOITIZ AIR TRANSPORT CORPORATION,BOI
ABS JETS,ABP
ABSOLUTE FLIGHT SERVICES (PTY) LTD,COI
ABSOLUTE FLIGHT SERVICES (PTY) LTD,FYB
ABSOLUTE FLIGHT SERVICES (PTY) LTD,TTN
"ABX AIR, INC. (WILMINGTON, OH)",ABX
"AC AVIATION CO., LTD",ACJ
ACA-ANCARGO AIR SOCIEDADE DE TRANSPORTE DE CARGA LDA,NCL
ACACUS AIR,CCU
"ACADEMY AIRLINES (GRIFFIN, GA)",ACD
ACE AIR,ATZ
"ACEF - TRANSPORTES AEREOS E CARGAS, LDA.",CFM
"ACERO TAXI, S.A. DE C.V.",ARO
"ACG AIR CARGO GERMANY GMBH, FLUGHAFEN HAHN",ACX
"ACM AIR CHARTER GMBH, RHEINMUENSTER",BVR
"ACM AVIATION, INC. (SAN JOSE, CA)",BJT
ACROPOLIS AVIATION LTD,CRV
ACT HAVAYOLLARI A.S.,RUN
"ACT INTERNATIONAL AIRLINES INC. D/B/A TEXAS AIRWAYS (IRVING, TX)",CWT
ACTION AIR,ORS
ACTION AIRLINES (ACTION AIR CHARTER),AXQ
AD ASTRA EXECUTIVE CHARTER SP.Z.O.O.,ADC
AD AVIATION LIMITED,VUE
ADA AIR,ADE
ADD LLC,LYC
ADDIS AIR CARGO SERVICES P.L.C.,DSC
ADDIS AIRLINES PLC,DDS
"ADEFA, S.A.",ADF
"ADI SHUTTLE GROUP, LLC (MATHER, CA)",TEC
ADLER AVIATION LTD,SWH
"ADMINISTRACION AERONAUTICA INTERNACIONAL, S.A. DE C.V.",AAO
ADMINISTRACION DE AEROPUERTOS Y SERVICIOS AUXILIARES A LA NAVEGACION AEREA (AASANA),XXV
"ADMINISTRACION PROFESIONAL DE AERONAVES, S.A. DE C.V.",...
"ADMINISTRACION PROFESIONAL DE AERONAVES, S.A. DE C.V.",RPR
ADRIA AIRWAYS,ADR
"ADRO SERVICIOS AEREOS, S.A. DE C.V.",DRO
"ADVANCE AIR LUFTFAHRTGESELLSCHAFT MBH, WEILMUENSTER",AXX
"ADVANCE AVIATION CO., LTD",AAX
"ADVANCE AVIATION JET CO., LTD",AJV
"ADVANCE AVIATION SERVICES, INC. (MIAMI SPRINGS, FL)",XTJ
"ADVANCED AIR CO., LTD",ADD
ADVANCED FLIGHT TRAINING LTD,ADV
ADVENTIA,DVN
"ADVISORS AVIATION, LLC (ST. LOUIS, MO)",BKM
AEF CRANWELL,UAH
"AEG AVIATION SERVICES (STATELINE, NV)",EBS
AEGEAN AIRLINES,AEE
"AEKO KULA, INC D/B/A ALOHA AIR CARGO (HONOLULU, HI)",AAH
AEOLIAN AIRLINES S.A.,AOL
AEOLUS AIR LIMITED,AAZ
AER ARANN TEORANTA,REA
AER LINGUS TEORANTA,EIN
AERALP,ALS
"AERBRAVA, S.C.P.",EBV
AEREA,AEF
"AEREA FLYING TRAINING ORGANIZATION, S.A.",ADG
"AEREO CABO, S.A. DE C.V.",CBV
"AEREO DORADO, S.A. DE C.V.",DRD
"AEREO FUTURO, S.A. DE C.V.",FUT
"AEREO GE, S.A. DE C.V.",GEE
AEREO RUTA MAYA,MMG
"AEREO TAXI PARAZA, S.A. DE C.V.",PZA
"AEREO TRANSPORTES LOS ANGELES DE AMERICA, S.A. DE C.V.",AGI
"AEREO WWG, S.A. DE C.V.",WWG
