ADK,AK,ALASKA,ALEUTIANS WEST,ADAK ISLAND,ADAK
ANC,AK,ALASKA,ANCHORAGE,ANCHORAGE,TED STEVENS ANCHORAGE INTERNATIONAL
BRW,AK,ALASKA,NORTH SLOPE,BARROW,WILEY POST-WILL ROGERS MEMORIAL
BET,AK,ALASKA,BETHEL,BETHEL,BETHEL
CDB,AK,ALASKA,ALEUTIANS EAST,COLD BAY,COLD BAY
CDV,AK,ALASKA,CORDOVA-MCCARTHY,CORDOVA,MERLE K (MUDHOLE) SMITH
SCC,AK,ALASKA,NORTH SLOPE,DEADHORSE,DEADHORSE
DLG,AK,ALASKA,BRISTOL BAY,DILLINGHAM,DILLINGHAM
FAI,AK,ALASKA,FAIRBANKS NORTH STAR,FAIRBANKS,FAIRBANKS INTERNATIONAL
GBH,AK,ALASKA,NOME,GALBRAITH LAKE,GALBRAITH LAKE
GST,AK,ALASKA,SKAGWAY-YAKUTAT,GUSTAVUS,GUSTAVUS
HOM,AK,ALASKA,KENAI-COOK INLET,HOMER,HOMER
JNU,AK,ALASKA,JUNEAU,JUNEAU,JUNEAU INTERNATIONAL
ENA,AK,ALASKA,KENAI-COOK INLET,KENAI,KENAI MUNICIPAL
KTN,AK,ALASKA,KETCHIKAN GATEWAY,KETCHIKAN,KETCHIKAN INTERNATIONAL
AKN,AK,ALASKA,BRISTOL BAY,KING SALMON,KING SALMON
ADQ,AK,ALASKA,KODIAK ISLAND,KODIAK,KODIAK
OTZ,AK,ALASKA,KOBUK,KOTZEBUE,RALPH WIEN MEMORIAL
OME,AK,ALASKA,NOME,NOME,NOME
PSG,AK,ALASKA,WRANGELL-PETERSBURG,PETERSBURG,PETERSBURG JAMES A JOHNSON
PPC,AK,ALASKA,UPPER YUKON,PROSPECT CREEK,PROSPECT CREEK
SIT,AK,ALASKA,SITKA,SITKA,SITKA ROCKY GUTIERREZ
DUT,AK,ALASKA,ALEUTIANS WEST,UNALASKA,UNALASKA
VDZ,AK,ALASKA,VALDEZ-CHITNA-WHITIE,VALDEZ,VALDEZ PIONEER FIELD
WRG,AK,ALASKA,WRANGELL-PETERSBURG,WRANGELL,WRANGELL
YAK,AK,ALASKA,SKAGWAY-YAKUTAT,YAKUTAT,YAKUTAT
ANB,AL,ALABAMA,CALHOUN,ANNISTON,ANNISTON REGIONAL
BHM,AL,ALABAMA,JEFFERSON,BIRMINGHAM,BIRMINGHAM-SHUTTLESWORTH INTERNATIONAL
DHN,AL,ALABAMA,DALE,DOTHAN,DOTHAN REGIONAL
HSV,AL,ALABAMA,MADISON,HUNTSVILLE,HUNTSVILLE INTERNATIONAL-CARL T JONES FIELD
BFM,AL,ALABAMA,MOBILE,MOBILE,MOBILE DOWNTOWN
MOB,AL,ALABAMA,MOBILE,MOBILE,MOBILE REGIONAL
MGM,AL,ALABAMA,MONTGOMERY,MONTGOMERY,MONTGOMERY REGIONAL (DANNELLY FIELD)
MSL,AL,ALABAMA,COLBERT,MUSCLE SHOALS,NORTHWEST ALABAMA REGIONAL
TCL,AL,ALABAMA,TUSCALOOSA,TUSCALOOSA,TUSCALOOSA REGIONAL
FYV,AR,ARKANSAS,WASHINGTON,FAYETTEVILLE,DRAKE FIELD
XNA,AR,ARKANSAS,BENTON,FAYETTEVILLE/SPRINGDALE/,NORTHWEST ARKANSAS REGIONAL
FSM,AR,ARKANSAS,SEBASTIAN,FORT SMITH,FORT SMITH REGIONAL
HOT,AR,ARKANSAS,GARLAND,HOT SPRINGS,MEMORIAL FIELD
LIT,AR,ARKANSAS,PULASKI,LITTLE ROCK,BILL AND HILLARY CLINTON NATIONAL/ADAMS FIELD
TXK,AR,ARKANSAS,MILLER,TEXARKANA,TEXARKANA REGIONAL-WEBB FIELD
IFP,AZ,ARIZONA,MOHAVE,BULLHEAD CITY,LAUGHLIN/BULLHEAD INTERNATIONAL
FLG,AZ,ARIZONA,COCONINO,FLAGSTAFF,FLAGSTAFF PULLIAM
FHU,AZ,ARIZONA,COCHISE,FORT HUACHUCA SIERRA VISTA,SIERRA VISTA MUNICIPAL-LIBBY AAF
GCN,AZ,ARIZONA,COCONINO,GRAND CANYON,GRAND CANYON NATIONAL PARK
IGM,AZ,ARIZONA,MOHAVE,KINGMAN,KINGMAN
PGA,AZ,ARIZONA,COCONINO,PAGE,PAGE MUNICIPAL
1G4,AZ,ARIZONA,MOHAVE,PEACH SPRINGS,GRAND CANYON WEST
